  No    Ref    V       B-V     U-B

 0031   314  14.479   0.882   0.232
 0036   314  14.873   0.821   0.178
 0037   314  15.069   0.914   0.251
 0038   314  15.532   1.011   0.471
 0039   314  15.456   0.973   0.287
 0040   314  15.669   0.794   0.326
 0042   314  13.960   1.280   0.991
 0046   314  14.786   0.891   0.272
 0048   314  15.123   0.511   0.262
 0050   314  14.879   0.899   0.298
 0051   314  14.392   0.811   0.162
 0052   314  13.993   0.383  -0.012
 0053   314  14.828   1.303   0.892
 0054   314  15.097   0.457   0.272
 0055   314  14.479   0.466   0.025
 0056   314  14.173   0.808   0.224
 0058   314  14.624   0.438   0.232
 0060   314  14.823   1.329   0.929
 0061   314  15.665   0.704   0.372
 0062   314  15.266   0.616   0.176
 0063   314  10.381   0.802  -1.144
 0065   314  15.165   0.799   0.255
 0066   314  13.340   0.761   0.171
 0067   314  10.161   0.628   0.120
 0068   314  13.989   0.404   0.180
 0069   314  15.503   0.642   0.273
 0070   314  15.639   0.652   0.312
 0071   314  15.278   0.598   0.344
 0073   314  14.519   0.949   0.637
 0074   314  13.479   0.284  -0.069
 0075   314  15.028   0.524   0.193
 0076   314  15.317   0.494   0.309
 0077   314  15.872   0.662   0.331
 0078   314  15.048   0.652   0.307
 0079   314  14.059   0.742   0.263
 0080   271  14.409   0.660   0.177
 0080   314  14.444   0.665   0.133
 0081   271  12.409   0.731   0.263
 0081   314  12.495   0.725   0.154
 0082   314  15.270   0.894   0.358
 0083   271  13.423   0.294  -0.125
 0083   314  13.485   0.284  -0.186
 0084   314  14.227   1.478   1.263
 0085   271  13.986   0.354   0.154
 0085   314  14.013   0.429  -0.033
 0086   271  14.017   0.365   0.177
 0086   314  14.052   0.367   0.117
 0087   271  10.607   0.265   0.132
 0087   314  10.675   0.235   0.102
 0088   271  15.815   0.761   0.261
 0088   314  15.879   0.850   0.085
 0089   271  14.585   0.433   0.268
 0089   314  14.548   0.543   0.122
 0090   271  10.006   0.186  -0.485
 0090   314  10.073   0.154  -0.561
 0091   271  15.831   0.815   0.386
 0091   314  15.836   0.925   0.178
 0092   271  13.923   0.934   0.821
 0092   314  13.941   1.071   0.661
 0093   314  15.009   0.685   0.190
 0094   271  14.143   0.396   0.114
 0094   314  14.188   0.440  -0.064
 0095   271  14.963   0.575   0.445
 0095   314  15.020   0.597   0.291
 0096   271  12.852   1.319   1.034
 0097   271  13.220   0.730   0.371
 0097   314  13.313   0.789   0.159
 0098   271  14.654   0.529   0.294
 0098   314  14.716   0.555   0.174
 0099   271  13.533   0.313   0.018
 0099   314  13.626   0.296  -0.039
 0100   271  14.390   0.500   0.267
 0100   314  14.430   0.523   0.161
 0101   271  15.399   0.641   0.435
 0101   314  15.431   0.694   0.351
 0102   271  14.628   0.688   0.432
 0102   314  14.684   0.718   0.330
 0103   271  15.227   0.587   0.407
 0103   314  15.286   0.587   0.299
 0104   271  14.426   0.810   0.348
 0104   314  14.469   0.861   0.203
 0105   271  14.962   0.533   0.361
 0105   314  14.986   0.529   0.376
 0106   271  15.792   0.726   0.533
 0107   271  14.797   0.429   0.246
 0107   314  14.809   0.450   0.172
 0108   271  15.144   0.513   0.350
 0108   314  15.213   0.534   0.304
 0109   271  12.746   0.350  -0.075
 0109   314  12.775   0.328  -0.224
 0110   271  15.282   0.726   0.340
 0110   314  15.363   0.800   0.188
 0111   271  15.188   0.521   0.345
 0111   314  15.204   0.516   0.384
 0112   271  14.827   0.479   0.290
 0112   314  14.855   0.507   0.200
 0113   271  15.578   0.992   0.586
 0114   271  14.434   0.685   0.418
 0114   314  14.461   0.723   0.345
 0115   314  14.805   0.395   0.247
 0116   271  13.560   0.452   0.285
 0116   314  13.609   0.485   0.160
 0117   271  14.601   1.260   1.032
 0117   314  14.711   1.330   1.012
 0118   314  15.584   0.933   0.158
 0119   271  14.051   0.745   0.467
 0119   314  14.103   0.822   0.294
 0121   271  14.975   0.447   0.279
 0121   314  14.979   0.477   0.240
 0122   271  14.300   0.504   0.176
 0122   314  14.369   0.576  -0.008
